model,hit_rate,avg_rating_reward,intra_list_diversity,catalog_coverage,genre_coverage,avg_recommended_popularity,cumulative_reward_final,cumulative_regret_final,total_recommendations,unique_recommended_movies,lambda,alpha,epsilon
DiversityAwareLinUCB(lambda=0),0.6361936810618807,0.7703682931389044,0.7921748696774067,0.29509784925402055,1.0,0.3200282992239708,3403.0,1525.0,5349,1523,0.0,0.5,
DiversityAwareLinUCB(lambda=0.1),0.6307721069358758,0.767507945410357,0.8070712298442587,0.2966479364464251,1.0,0.31825116660984826,3374.0,1541.0,5349,1531,0.1,0.5,
DiversityAwareLinUCB(lambda=0.3),0.6255374836418022,0.7651710600112169,0.8198930388791825,0.298973067235032,1.0,0.3179278516416849,3346.0,1583.0,5349,1543,0.3,0.5,
DiversityAwareLinUCB(lambda=0.5),0.6217984670031782,0.7640306599364367,0.831371966852646,0.3055609378027514,1.0,0.31597036646028764,3326.0,1623.0,5349,1577,0.5,0.5,
EpsilonGreedy,0.5787997756590016,0.7467750981491867,0.7967929986643881,0.2606084092230188,0.95,0.2984057859449631,3096.0,1893.0,5349,1345,,,0.1
LinUCB,0.6361936810618807,0.7703682931389044,0.7921748696774067,0.29509784925402055,1.0,0.3200282992239708,3403.0,1525.0,5349,1523,,0.5,
